ThanhPho,SO2,NhietDo,SoLuong,DanSo,Gio,LuongMua,SoNgay
Albany,46,47.6,44,116,8.8,33.36,135
Albuquerque,11,56.8,46,244,8.9,7.77,58
Atlanta,24,61.5,368,497,9.1,48.34,115
Baltimore,47,55,625,905,9.6,41.31,111
Buffalo,11,47.1,391,463,12.4,36.11,166
Charleston,31,55.2,35,71,6.5,40.75,148
Chicago,110,50.6,3344,3369,10.4,34.44,122
Cincimnati,23,54,462,453,7.1,39.04,132
Cleveland,65,49.7,1007,751,10.9,34.99,155
,,,,,,,
Columbus,26,51.5,266,540,8.6,37.01,134
Dallas,9,66.2,641,844,10.9,35.94,78
Denver,17,51.9,454,515,9,12.95,86
Des Moines,17,66.2,104,201,11.2,30.85,103
